名前,酸味,苦味,コク,風味,後味,購入リンク
ブラジル,5,5,6.5,6.5,5,
ブラジル　ブルボン,4,5,6.5,5,5,
ブラジル　サントス,3.5,4.5,6,4.5,4.5,
ブラジル　ムンドノーボ,4.5,5,6.5,5.5,5,
ブラジル　サンジョゼ,6.5,5,9,8,7,
ブラジル　ピーベリー,3.5,5,4,4,4,
エチオピア　イルガチェフェ,8,2.5,8,9,8,
エチオピア　レケンプティ,6,4,6,7.5,7,
エチオピア　モカ,5,5,5,5,5,
エチオピア　グジ,7.5,3,5.5,8,7,
エチオピア　ゲイシャ,9.5,1,5,9.5,9.5,
コロンビア,6,2,8.5,7,5,
コロンビア　スプレモ,6,2,8,8,6,
コロンビア　ティピカ,5.5,4,5,6,5.5,
コロンビア　カトゥーラ,5.5,3.5,7,6,5.5,
コロンビア　カスティージョ,6.5,3,5.5,6.5,6,
コロンビア　エメラルドマウンテン,4,1.5,9.5,8.5,4,
コロンビア　シドラ,8,7,6,6.5,3,
グアテマラ,7,1.5,7,7,2,
グアテマラ　アンティグア,9,0.5,7.5,8,8,
グアテマラ　カトゥーラ,6,4,6,6.5,6,
ケニア　AA,8,2,8,7,3.5,
ケニア　SL28,8,3,5.5,8.5,8,
ケニア　SL34,7.5,3.5,6,8,7.5,
タンザニア　キリマンジャロ,9,1.5,9.5,8,7.5,
タンザニア　アデラ,8.5,4,9,8,7,
タンザニア　エーデルワイスAA,6.5,6.5,9,9,8,
インドネシア　マンデリン,4,6.5,8,6,6,
インドネシア　トラジャ,5,6,7,6,6,
インドネシア　ゴールデンマンデリン,4.5,6,10,9,9.5,
インドネシア　バリ神山,5,5,7.5,5,8.5,
インドネシア　コピルアク,7,1,6,9,8,
ベトナム　ロブスタ,0,7.5,4,1,1,
ベトナム　アラビカ,3.5,5.5,4,4,3,
メキシコ,5.5,1.5,5,5,7.5,
ホンジュラス,4.5,1,4.5,2,3.5,
ペルー,6,3.5,5.5,5,4,
イエメン　モカマタリ,8,4.5,6.5,9,8.5,
イエメン　マタリアールマッカ,6.5,1,7.5,9.5,8,
イエメン　バニーマタル,8,5,7,8.5,9,
インド　モンスーン,3.5,6.5,6.5,4,4.5,
パナマ　ゲイシャ,10,0.5,5,10,10,
パナマ　カトゥアイ,7.5,2,7,8.5,6.5,
ニカラグア　,7.5,4.5,8.5,9.5,9,
エルサルバドル　,6,2,5,2.5,4.5,
ボリビア　ティピカ,5.5,4.5,5.5,5.5,5,
ボリビア　カトゥーラ,6,4,6,6,5.5,
カメルーン,6.5,4.5,6,6.5,6,
ジャマイカ　ブルーマウンテン,4,1,4.5,9,8,
キューバ　クリスタルマウンテン,1.5,1.5,2.5,6.5,9.5,
ドミニカ,6,3,4,6,6,
コスタリカ,8,3,5,7.5,3,
ドミニカ,5.5,2,7.5,8,5.5,
エクアドル,6.5,2,8,8.5,7.5,
ハワイ　コナ,8.5,3.5,7,8,2.5,
ブルンジ,9,4,8,8,6.5,
ルワンダ,8,5,5,7.5,5,
パプアニューギニア,6.5,5,8,7,7,
ハイチ　ゾンビデザート,5,6,6,7,6,
